AccentCity,Population,Latitude,Longitude
Bretten,28774.0,49.039167,8.702778
Bretzfeld,12223.0,49.179444000000004,9.438333
Brilon,27186.0,51.4,8.583333
Bruchsal,43615.0,49.128056,8.583611
Brunswick,245259.0,52.266667,10.533333
Buchen,19276.0,49.523889000000004,9.323056
Buchloe,11997.0,48.033333,10.733333
Burbach,14984.0,50.75,8.083333
Burg,28602.0,52.266667,11.85
Burgdorf,30288.0,52.45,10.016667
Burghausen,18376.0,48.166667,12.833333
Burgkirchen,10795.0,48.166667,12.733333
Burglengenfeld,12098.0,49.205556,12.041389
Burgthann,11615.0,49.35,11.3
Burladingen,13249.0,48.283333,9.116667
Burscheid,19579.0,51.1,7.116667
Butzbach,25804.0,50.433333000000005,8.683333
Buxtehude,38236.0,53.45,9.7
Cadolzburg,10188.0,49.45,10.866667
Calbe,11666.0,51.9,11.766667
Calw,24220.0,48.716667,8.733333
Castrop-Rauxel,78587.0,51.55,7.316667
Celle,71106.0,52.61666700000001,10.083333
Cham,17393.0,49.225556,12.663611
Chemnitz,246654.0,50.833333,12.916667
Clausthal-Zellerfeld,15082.0,51.8,10.333333
Cleves,49448.0,51.783333,6.15
Cloppenburg,31030.0,52.85,8.033333
Coburg,42413.0,50.25,10.966667
Coesfeld,36929.0,51.933333000000005,7.15
Cologne,968823.0,50.933333000000005,6.95
Coswig,21965.0,51.133333,13.583332999999998
Coswig,8729.0,51.883333,12.45
Cottbus,115246.0,51.766667,14.333332999999998
Crailsheim,32666.0,49.15,10.083333
Cremlingen,12811.0,52.25,10.65
Crimmitschau,22410.0,50.816666999999995,12.383333
Cuxhaven,52873.0,53.88333299999999,8.7
Dachau,39815.0,48.266667,11.433333
Damme,16236.0,52.516667000000005,8.2
Dannenberg,8612.0,53.1,11.1
Darmstadt,139757.0,49.870556,8.649444
Dassel,11319.0,51.8,9.683333
Datteln,37130.0,51.666667,7.383333
Deggendorf,31146.0,48.833333,12.966667
Delitzsch,25160.0,51.533333,12.35
Delmenhorst,75740.0,53.05,8.616667
Demmin,12263.0,53.9,13.033333
Denkendorf,10096.0,48.683333000000005,9.316667
Denzlingen,13388.0,48.066666999999995,7.883333
Dessau,76628.0,51.833333,12.25
Detmold,74853.0,51.933333000000005,8.883333
Dettingen,9282.0,48.533333,9.35
Dieburg,15452.0,49.898889000000004,8.844444000000001
Diedorf,10348.0,48.35,10.766667
Diepholz,16874.0,52.6,8.366667
Dietzenbach,32975.0,50.016667,8.783333
Diez,11065.0,50.366667,8.016667
Dillenburg,24772.0,50.733333,8.283333
Dillingen,19013.0,48.566666999999995,10.483333
Dillingen,21451.0,49.35,6.733333
Dingolfing,18733.0,48.633333,12.5
Dinklage,12802.0,52.65,8.116667
Dinslaken,71632.0,51.566666999999995,6.733333
Ditzingen,24255.0,48.833333,9.066667
Donaueschingen,21699.0,47.95,8.5
Donzdorf,11038.0,48.683333000000005,9.816667
Dorfen,13425.0,48.266667,12.15
Dormagen,64129.0,51.1,6.8333330000000005
Dornstadt,8374.0,48.466667,9.95
Dorsten,80180.0,51.666667,6.966667
Dortmund,594255.0,51.516667,7.45
Dossenheim,11794.0,49.450278000000004,8.674722000000001
Dreieich,41054.0,50.0,8.7
Drensteinfurt,15234.0,51.8,7.75
Dresden,480801.0,51.05,13.75
Drochtersen,12404.0,53.7,9.383333
Drolshagen,12438.0,51.016667,7.766667
Duderstadt,22842.0,51.516667,10.266667
Duisburg,505271.0,51.433333000000005,6.75
Durmersheim,11742.0,48.933333000000005,8.266667
Eberbach,15526.0,49.469444,8.992778
Ebersbach,16143.0,48.716667,9.533333
Ebersbach,9056.0,51.016667,14.583332999999998
Ebersberg,11082.0,48.083333,11.966667
Eberswalde,41384.0,52.833332999999996,13.833332999999998
Eching,13247.0,48.3,11.616667
Edemissen,12838.0,52.383333,10.266667
Edewecht,20519.0,53.13333299999999,7.983333
Edingen-Neckarhausen,13935.0,49.457221999999994,8.606389
Egelsbach,9703.0,49.971111,8.670278
Eggenfelden,12988.0,48.4,12.766667
Eggenstein-Leopoldshafen,15222.0,49.095278,8.390556
Ehingen,26154.0,48.283333,9.733333
Eichenau,11614.0,48.166667,11.316667
Eichenzell,10708.0,50.483333,9.7
Eilenburg,17120.0,51.466667,12.616667
Einbeck,28179.0,51.816666999999995,9.866667
Eisenach,44399.0,50.983333,10.316667
Eisenberg,9970.0,49.565833000000005,8.07
Eisenberg,11616.0,50.966667,11.9
Eislingen,20343.0,48.7,9.7
Eitorf,19867.0,50.766667,7.45
Ellwangen,25396.0,48.966667,10.133333
Elmshorn,48744.0,53.75,9.65
Elsdorf,21901.0,50.933333000000005,6.566667
Elsfleth,9286.0,53.233332999999995,8.466667
Elsterwerda,9714.0,51.45,13.533332999999999
Eltville,16858.0,50.033333,8.116667
Elze,9686.0,52.116667,9.733333
Emden,51639.0,53.36666700000001,7.216667
Emmendingen,26820.0,48.133333,7.85
Emmerich,29753.0,51.833333,6.25
Emsdetten,35383.0,52.183333000000005,7.533333
Engelskirchen,20883.0,50.983333,7.4
Engen,10195.0,47.85,8.766667
Enger,20417.0,52.133333,8.566667
Eningen,10715.0,48.483333,9.25
Ennepetal,32426.0,51.3,7.35
Ennigerloh,20678.0,51.833333,8.016667
Eppelborn,18400.0,49.4,6.966667
Eppelheim,14647.0,49.4025,8.633056
Eppingen,21457.0,49.136944,8.910278
Eppstein,13512.0,50.133333,8.4
Erbach,13238.0,48.333333,9.883333
Erbach,13501.0,49.656110999999996,8.996389
Erding,32377.0,48.3,11.933333
Erftstadt,51606.0,50.816666999999995,6.766667
Erfurt,196719.0,50.983333,11.033333
Ergolding,11513.0,48.583333,12.166667
Erkelenz,44479.0,51.083333,6.316667
Erkner,11866.0,52.416667,13.75
Erkrath,47908.0,51.216667,6.9
Erlangen,102781.0,49.589721999999995,11.003889
Erlenbach,10095.0,49.803889,9.163889
Erlensee,12407.0,50.15,8.95
Erwitte,16097.0,51.616667,8.35
Eschborn,20438.0,50.133333,8.55
Eschwege,21546.0,51.183333000000005,10.066667
Eschweiler,55888.0,50.816666999999995,6.283333
Espelkamp,26684.0,52.383333,8.616667
Essenbach,11013.0,48.616667,12.216667
Essen,576914.0,51.45,7.016667
Esslingen,92710.0,48.75,9.3
Ettenheim,11956.0,48.25,7.816667
Ettlingen,39635.0,48.95,8.4
Euskirchen,54855.0,50.666667,6.783333
Eutin,17258.0,54.13333299999999,10.616667
Falkensee,37916.0,52.566667,13.083333
Falkenstein,9859.0,50.483333,12.366667
Fallingbostel,13639.0,52.86666700000001,9.7
Feldkirchen-Westerham,10177.0,47.9,11.85
Fellbach,44142.0,48.8,9.283333
Felsberg,11244.0,51.133333,9.416667
Feucht,13585.0,49.376667,11.213889
Feuchtwangen,12207.0,49.166667,10.333333
Filderstadt,43580.0,48.666667,9.216667
Finnentrop,18466.0,51.166667,7.966667
Finsterwalde,18733.0,51.633333,13.716667000000001
Flensburg,85158.0,54.783333,9.433333
Forchheim,30838.0,49.723056,11.066944
Forst,22521.0,51.733333,14.633332999999999
Frankenberg,19366.0,51.066666999999995,8.8
Frankenberg,16819.0,50.916667,13.033333
Frankenthal,47523.0,49.537222,8.355
Frankfurt,648034.0,50.116667,8.683333
Frankfurt,64399.0,52.35,14.55
Frechen,48198.0,50.916667,6.816667
Freiberg,15517.0,48.933333000000005,9.2
Freiberg,43160.0,50.916667,13.366667000000001
Freiburg,213920.0,48.0,7.85
Freilassing,16033.0,47.85,12.983333
Freising,42322.0,48.4,11.733333
Freital,38815.0,51.016667,13.65
Freudenberg,18440.0,50.9,7.866667
Freudenstadt,24384.0,48.433333000000005,8.416667
Frickenhausen,8917.0,48.6,9.366667
Friedberg,29581.0,48.35,10.983333
Friedberg,28164.0,50.35,8.766667
Friedeburg,10822.0,53.45,7.8333330000000005
Friedland,10472.0,51.416667,9.933333
Friedrichsdorf,24897.0,50.266667,8.65
Friedrichshafen,58005.0,47.65,9.483333
Friedrichsthal,11425.0,49.316666999999995,7.1
Friesenheim,12616.0,49.498333,8.422778
Friesoythe,20178.0,53.016667000000005,7.85
Fritzlar,14798.0,51.133333,9.283333
Fulda,63851.0,50.55,9.666667
Fuldatal,12102.0,51.383333,9.566667
Furth im Wald,9400.0,49.309722,12.84
Furtwangen,9763.0,48.05,8.2
Gaggenau,29800.0,48.8,8.333333
Gaildorf,12683.0,49.003889,9.771111
Gaimersheim,10998.0,48.816666999999995,11.366667
Ganderkesee,31262.0,53.033333,8.533333
Gangelt,11647.0,50.983333,6.0
Garbsen,63354.0,52.416667,9.6
Garching,15380.0,48.25,11.65
Gardelegen,11771.0,52.533333,11.366667
Garmisch-Partenkirchen,26346.0,47.5,11.1
Garrel,12515.0,52.95,8.016667
Gauting,19381.0,48.066666999999995,11.366667
Geeste,11456.0,52.6,7.266667
Geesthacht,29853.0,53.433333,10.366667
Gehrden,15139.0,52.316666999999995,9.6
Geilenkirchen,28587.0,50.966667,6.116667
Geisenheim,11959.0,49.983333,7.966667
Geldern,34291.0,51.516667,6.3333330000000005
Gelnhausen,21417.0,50.2,9.183333
Gelsenkirchen,271647.0,51.516667,7.05
Gengenbach,11035.0,48.4,8.016667
Genthin,14573.0,52.4,12.166667
Gera,104463.0,50.866667,12.083333
Geretsried,23377.0,47.866667,11.466667
Gerlingen,18977.0,48.8,9.066667
Germering,36905.0,48.133333,11.366667
